LaunchId,LaunchTime,LaunchStatus,RocketName,RocketOrganisation,Location,LaunchYear,Emissions
1071,2019-03-28 23:27:00+00:00,Success,Electron/Curie,Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",2019,40950.0
1072,2019-02-05 21:01:00+00:00,Failure,Safir-1B+,Iranian Space Agency,"Imam Khomeini Spaceport, Semnan Space Center, Iran",2019,93600.0
1074,2019-03-09 16:28:00+00:00,Success,Long March 3B/E,CASC,"LC-3, Xichang Satellite Launch Center, China",2019,1476000.0
1075,2019-09-19 06:42:00+00:00,Success,Long March 11,CASC,"Site 95, Jiuquan Satellite Launch Center, China",2019,142500.0
1076,2021-10-16 09:34:00+00:00,Success,Atlas V 401,ULA,"SLC-41, Cape Canaveral SFS, Florida, USA",2021,696150.0
1127,2021-09-03 01:59:00+00:00,Failure,Firefly Alpha,Firefly,"SLC-2W, Vandenberg SFB, California, USA",2021,141750.0
1128,2019-03-31 15:51:00+00:00,Success,Long March 3B/E,CASC,"LC-2, Xichang Satellite Launch Center, China",2019,1476000.0
1147,2021-05-18 17:37:00+00:00,Success,Atlas V 421,ULA,"SLC-41, Cape Canaveral SFS, Florida, USA",2021,897750.0
1164,2019-03-27 09:39:00+00:00,Failure,OS-M1,OneSpace,"Site 95, Jiuquan Satellite Launch Center, China",2019,96900.0
1169,2019-05-24 02:30:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2019,1288350.0
1260,2020-07-15 13:46:00+00:00,Success,Minotaur IV,Northrop,"LP-0B, Wallops Flight Facility, Virginia, USA",2020,245100.0
1265,2019-12-06 08:18:00+00:00,Success,Electron/Curie,Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",2019,40950.0
1325,2019-05-05 06:00:00+00:00,Success,Electron/Curie,Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",2019,40950.0
1326,2021-08-05 16:30:00+00:00,Success,Long March 3B/E,CASC,"LC-2, Xichang Satellite Launch Center, China",2021,1476000.0
1361,2021-04-25 22:14:00+00:00,Success,Soyuz 2.1b/Fregat,Starsem,"Site 1S, Vostochny Cosmodrome, Russia",2021,863100.0
1373,2021-11-24 06:21:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-4E, Vandenberg SFB, California, USA",2021,1288350.0
1494,2019-06-05 04:06:00+00:00,Success,Long March 11H,CASC,"Tai Rui Barge, Yellow Sea",2019,142500.0
1510,2019-05-22 00:00:00+00:00,Success,PSLV-CA,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2019,125400.0
1511,2019-05-22 22:49:00+00:00,Failure,Long March 4C,CASC,"LC-9, Taiyuan Satellite Launch Center, China",2019,900000.0
1513,2019-04-29 22:52:00+00:00,Success,Long March 4B,CASC,"Taiyuan Satellite Launch Center, China",2019,900000.0
1519,2019-07-25 05:00:00+00:00,Success,Hyperbola-1,i-Space,"Site 95, Jiuquan Satellite Launch Center, China",2019,91200.0
1521,2019-06-29 04:30:00+00:00,Success,Electron/Curie,Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",2019,40950.0
1548,2019-05-17 15:48:00+00:00,Success,Long March 3C/E,CASC,"LC-2, Xichang Satellite Launch Center, China",2019,1404000.0
1549,2019-08-17 04:11:00+00:00,Success,Jielong-1,CASC,"Site 95, Jiuquan Satellite Launch Center, China",2019,65550.0
